winner,loser,game_id,url,date,home_won
UNC Greensboro,Johnson & Wales (NC),29,https://www.sports-reference.com/cbb/boxscores/2022-11-07-17-north-carolina-greensboro.html,2022-11-07,1
Oakland,Defiance,30,https://www.sports-reference.com/cbb/boxscores/2022-11-07-17-oakland.html,2022-11-07,1
Appalachian State,Warren Wilson,31,https://www.sports-reference.com/cbb/boxscores/2022-11-07-18-appalachian-state.html,2022-11-07,1
Butler,New Orleans,32,https://www.sports-reference.com/cbb/boxscores/2022-11-07-18-butler.html,2022-11-07,1
Charlotte,Coppin State,33,https://www.sports-reference.com/cbb/boxscores/2022-11-07-18-charlotte.html,2022-11-07,1
DePaul,Loyola (MD),34,https://www.sports-reference.com/cbb/boxscores/2022-11-07-18-depaul.html,2022-11-07,1
UMass-Lowell,Fisher College,35,https://www.sports-reference.com/cbb/boxscores/2022-11-07-18-massachusetts-lowell.html,2022-11-07,1
Milwaukee,Milwaukee Engineering,36,https://www.sports-reference.com/cbb/boxscores/2022-11-07-18-milwaukee.html,2022-11-07,1
St. John's (NY),Merrimack,37,https://www.sports-reference.com/cbb/boxscores/2022-11-07-18-st-johns-ny.html,2022-11-07,1
Akron,South Dakota State,38,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-akron.html,2022-11-07,1
UAB,Alabama State,39,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-alabama-birmingham.html,2022-11-07,1
Arizona State,Tarleton State,40,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-arizona-state.html,2022-11-07,1
Army,Keystone,41,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-army.html,2022-11-07,1
Ball State,Earlham,42,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-ball-state.html,2022-11-07,1
Belmont,Ohio,43,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-belmont.html,2022-11-07,1
Binghamton,Cazenovia,44,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-binghamton.html,2022-11-07,1
Boston University,Northeastern,45,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-boston-university.html,2022-11-07,1
Bowling Green State,Air Force,46,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-bowling-green-state.html,2022-11-07,1
Bryant,Thomas (ME),47,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-bryant.html,2022-11-07,1
Bucknell,Lebanon Valley,48,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-bucknell.html,2022-11-07,1
Buffalo,Colgate,49,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-buffalo.html,2022-11-07,1
Youngstown State,Canisius,50,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-canisius.html,2022-11-07,0
Charleston Southern,Toccoa Falls,51,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-charleston-southern.html,2022-11-07,1
Cincinnati,Chaminade,52,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-cincinnati.html,2022-11-07,1
Clemson,The Citadel,53,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-clemson.html,2022-11-07,1
Notre Dame (OH),Cleveland State,54,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-cleveland-state.html,2022-11-07,0
Coastal Carolina,St. Mary's (MD),55,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-coastal-carolina.html,2022-11-07,1
College of Charleston,Chattanooga,56,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-college-of-charleston.html,2022-11-07,1
UConn,Stonehill,57,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-connecticut.html,2022-11-07,1
Davidson,Guilford,58,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-davidson.html,2022-11-07,1
Delaware,Wilmington (DE),59,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-delaware.html,2022-11-07,1
Denver,Idaho,60,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-denver.html,2022-11-07,1
ETSU,Emory & Henry,61,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-east-tennessee-state.html,2022-11-07,1
Eastern Kentucky,Miami Middletown,62,https://www.sports-reference.com/cbb/boxscores/2022-11-07-19-eastern-kentucky.html,2022-11-07,1
